name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
sarima,0.0003226812642947143,0.00021705337809824446,0.00012676275528849943,0.0009145672025624662,6,0,"[0.00022755881326902696, 0.00022617529420418313, 0.0001725499266057604, 0.00044271157818054135, 0.0005444107092140597]","[0.00016954044448290996, 0.0001359355353736652, 0.0001256917859556273, 0.00026866098518895813, 0.0003854381394900617]",checkoutservice
xgboost,0.017075086511793607,0.011336715920884354,0.005956092645077423,0.0027925415997742675,800,0,"[0.01620252162969321, 0.017180711872028853, 0.013887401686784623, 0.016326938897918742, 0.021777858472542617]","[0.010798195929309914, 0.01109393740303455, 0.008887853645401416, 0.01046792087710496, 0.015435671749570926]",currencyservice
holt_winters,0.017824587901433188,0.010026923686300603,0.0050217822286707185,0.05691858360223705,10,0,"[0.016333645170363734, 0.018787417305317133, 0.015085637204443588, 0.017054626521434132, 0.021861613305607357]","[0.009236519083430702, 0.010480237143094017, 0.008717586725482828, 0.00921397375859343, 0.012486301720902038]",currencyservice
seasonal_naive,0.023485294610597084,0.013701540817477719,0.006863687096811904,0.0001741586034768261,0,0,"[0.022730533765546956, 0.02377269563522642, 0.02105290883338887, 0.022371289658131756, 0.02749904516069141]","[0.013239881695928827, 0.01343677296026839, 0.012361328493001407, 0.012198359969955212, 0.017271360968234766]",currencyservice
sarima,0.047265264713838705,0.03580137883411084,0.017221593232794444,0.000812291596957948,6,0,"[0.03912502373269459, 0.03694693312001701, 0.08679697181278143, 0.0372679156212205, 0.03618947928248001]","[0.02330244653954637, 0.023591634292616355, 0.07992183846852687, 0.02447543654997161, 0.027715538319892975]",currencyservice
xgboost,0.0004298438192393888,0.00024723912022666186,0.00011738003573487286,0.0027658500024699603,800,0,"[0.00038772480074842453, 0.0002606294228601457, 0.0007440220601014056, 0.0003323498506140804, 0.0004244929618728877]","[0.0002371989806054749, 0.00017589889059059727, 0.00029766975876120336, 0.0002381405065475874, 0.00028728746462844634]",emailservice
holt_winters,0.0004480177069974235,0.0002538452455710255,0.00012723253942654197,0.04061841720103985,10,0,"[0.0003584128652675487, 0.0002729277269110446, 0.0007860902192295803, 0.0003688960622382149, 0.00045376166134072893]","[0.0002381416596591697, 0.0001779100758783568, 0.0003126274866226949, 0.00025713799652552703, 0.00028340900916937905]",emailservice
seasonal_naive,0.0005704185366051483,0.0003153650800677259,0.00015804798652451185,0.0001995916027226485,0,0,"[0.00041681565157597374, 0.00034006516001037633, 0.0010840163684644555, 0.0004561065489353195, 0.0005550889540396163]","[0.000272132874587834, 0.0002253594757034534, 0.00041264621784931727, 0.00032337566773695046, 0.0003433111644610744]",emailservice
sarima,0.0006389264069015282,0.0004491516094446318,0.00023581167275337476,0.0008342079978319815,6,0,"[0.000670852949799083, 0.0003280834083447324, 0.0008681965295017296, 0.0005002672324079374, 0.0008272319144541584]","[0.0005726624746772254, 0.00024618877301403684, 0.0003307342407873848, 0.00037968251805824957, 0.0007164900406862624]",emailservice
xgboost,0.016523113329099233,0.011069058356557577,0.00550796733294297,0.0027540919996681622,3200,0,"[0.014832560191819288, 0.015666156043186812, 0.017377209988408648, 0.016360032477308103, 0.018379607944773314]","[0.010356586793276765, 0.009977987090419874, 0.010783055735350343, 0.010914339187261483, 0.01331332297647941]",frontend
holt_winters,0.016584313601482967,0.009529157752220121,0.0047722516054577585,0.04746053339913488,10,0,"[0.014280425768151552, 0.017775632816316903, 0.018103682330849215, 0.01587063734140027, 0.01689118975069688]","[0.008201658620894286, 0.010065527551813811, 0.010424331062193426, 0.0090477179313077, 0.009906553594891383]",frontend
seasonal_naive,0.022763919119940478,0.01331728591361972,0.006669913580271462,0.00018551700050011276,0,0,"[0.020589892790871978, 0.024623704605980193, 0.02406635980126751, 0.021049871964366897, 0.023489766437215814]","[0.011983516899696262, 0.014414954484845451, 0.013802369835694451, 0.012376329133743258, 0.014009259214119175]",frontend
sarima,0.049181582186265296,0.03549533503082573,0.015861794140614838,0.0007974249965627677,6,0,"[0.03912758742447893, 0.04095582544183899, 0.09805514054193122, 0.0338085963707653, 0.033960761152312016]","[0.022939057426728894, 0.022988043127565822, 0.09018457924540685, 0.02019369790469723, 0.021171297449729842]",frontend
xgboost,0.0003166142785523523,0.00018306944443531288,9.23041722126065e-05,0.0027119334015878846,800,0,"[0.00020476226800250698, 0.0005633212224661827, 0.00027656326795013323, 0.0002792369396392071, 0.00025918769470373147]","[0.00014037005809784526, 0.00021209739894467218, 0.00017806428455914523, 0.0002001224666674303, 0.00018469301390747135]",paymentservice
holt_winters,0.0003582923259136967,0.00022254790412290032,0.00011114537495861042,0.028668682998977603,10,0,"[0.00022351699347935265, 0.000637018867448218, 0.00031402914221898215, 0.00032305205606681574, 0.00029384457035511473]","[0.00016869525434769705, 0.000273696624739112, 0.00020944491693915648, 0.00024597202788486185, 0.00021493069670367433]",paymentservice
seasonal_naive,0.00041345673913927,0.00023122301882666242,0.00011566359521304162,0.00018561640026746316,0,0,"[0.0002698791191794099, 0.0007040793794422198, 0.0003563425636733548, 0.00038523945229984683, 0.0003517431811015186]","[0.00017593273521858502, 0.0002571186741005353, 0.00022177253759796844, 0.00026251011023020076, 0.00023878103698602278]",paymentservice
sarima,0.00044217243243553796,0.0002872479520568226,0.00017416831657269063,0.000780999996641185,5,0,"[0.0002711504717610214, 0.0007088071100822762, 0.00035055618454416757, 0.0005653728494380714, 0.0003149755463521531]","[0.00022097416528631285, 0.0003049624123597259, 0.00023828080398301856, 0.00043992750926540524, 0.00023209486938965038]",paymentservice
holt_winters,0.005504792897503339,0.003179148064967631,0.001590156543998376,0.047515691599983256,10,0,"[0.0045351880358056465, 0.006027043361427114, 0.005529085552782655, 0.005673867663248168, 0.005758779874253111]","[0.002572525932994929, 0.0035637172958369323, 0.0030706956469289666, 0.0031828089275621396, 0.003505992521515187]",productcatalogservice
xgboost,0.006138867338964487,0.003948944998965705,0.0019240723044328556,0.0026089413979207164,3200,0,"[0.0047404574601866405, 0.007426164711518346, 0.005285108760563992, 0.005542571206303718, 0.007700034556249743]","[0.003123812623762104, 0.004043858532467939, 0.0027764702716031437, 0.0035146887892472355, 0.006285894777748099]",productcatalogservice
seasonal_naive,0.008370982157220217,0.004496858867012693,0.002250925408257452,0.0001727998023852706,0,0,"[0.007947613945624233, 0.009548795605327568, 0.008434079199627518, 0.008233707991539321, 0.00769071404398244]","[0.004042890554211057, 0.005152286888262746, 0.004370824425827808, 0.004330848214433438, 0.004587444252328418]",productcatalogservice
sarima,0.017442252000375597,0.011677412731103115,0.006005644565817966,0.002930457799811847,6,0,"[0.016607822080411797, 0.01959250084485924, 0.024591046626672677, 0.015088759810182178, 0.011331130639752097]","[0.008664954033526587, 0.011166761719720045, 0.023504411239377708, 0.008154419327831456, 0.006896517335059774]",productcatalogservice
xgboost,0.012082974059191797,0.006781518578269845,0.0034778913864525938,0.002519175196357537,800,0,"[0.011158392445810522, 0.011959678608248005, 0.011672810483900965, 0.013594925442990792, 0.012029063315008701]","[0.0063177814321197295, 0.00630523664562052, 0.006148079205444508, 0.007279564957396387, 0.007856930650768078]",recommendationservice
holt_winters,0.012602583532398709,0.0065999390795203495,0.003299199633771814,0.047088274999987335,10,0,"[0.010929619104708342, 0.012924318501855565, 0.012578241027577059, 0.01402730423903532, 0.012553434788817248]","[0.006024527585345307, 0.006581939998175394, 0.0065735409336636665, 0.006886586212385098, 0.006933100668032282]",recommendationservice
seasonal_naive,0.019724421912896604,0.009838158829514216,0.004922649140734282,0.0002731082029640674,0,0,"[0.01814643682252415, 0.020029171435983137, 0.01923029206758683, 0.0213324760950819, 0.01988373314330701]","[0.009046163941578787, 0.0097668896574175, 0.009630400136042116, 0.010470490681606527, 0.010276849730926144]",recommendationservice
sarima,0.04791218229459747,0.03227603975997134,0.014973265709195336,0.0009035497991135343,6,0,"[0.03682678423280622, 0.04265585111159886, 0.09255424879334308, 0.034640487360003865, 0.032883539975235326]","[0.018200571990350706, 0.022351818825102704, 0.08648050242500949, 0.01656665582483769, 0.017780649734556123]",recommendationservice
xgboost,0.000786253742300649,0.000505443227268332,0.00027475091732274027,0.002923392000957392,1600,0,"[0.0008441479199531776, 0.0008976177014201589, 0.0006014431873669977, 0.0008626762410429182, 0.0007253836617199922]","[0.0005593335367583446, 0.0005567551046395323, 0.00038751154415536855, 0.000544120054640271, 0.0004794958961481438]",shippingservice
holt_winters,0.0007909535821736216,0.0004699747965103972,0.0002351666460941368,0.04026134999876376,10,0,"[0.0007893941329041598, 0.0009450565512710426, 0.0007024009970305814, 0.0008310425903259142, 0.0006868736393364098]","[0.0004555957644377272, 0.0005555277232348697, 0.0004267048758498636, 0.0004905573253609902, 0.00042148829366853553]",shippingservice
seasonal_naive,0.0011656698146219223,0.0006843564742995182,0.0003423117500741405,0.00021079159923829136,0,0,"[0.0011784453725133762, 0.0013359731860877213, 0.0011114166632646518, 0.0013000286446186494, 0.0009024852066252127]","[0.000702149893527249, 0.0007483020778033159, 0.0006472907952777296, 0.00073112914991066, 0.0005929104549786361]",shippingservice
sarima,0.002755337464435401,0.0020046420034701496,0.0009703240542207761,0.003001491204486228,5,0,"[0.0021777757376487553, 0.002417958966368667, 0.0051486098524975744, 0.0022983538548633003, 0.0017339889107987072]","[0.0012391251321979496, 0.0013447663481293863, 0.004824608118241477, 0.0012972521966502291, 0.0013174582221317066]",shippingservice
