name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
lstm,0.005662090696806264,0.0040324463159937245,0.0017493152199201853,0.0019095973926596343,12961,0,"[0.005074198374843467, 0.00378937700502341, 0.004175919773663341, 0.003729037003031575, 0.011541921327469527]","[0.003713526180918666, 0.0025505065765496836, 0.0028424982265549885, 0.002604655704006611, 0.008451044891938674]",checkoutservice
seasonal_naive,0.005666878231158587,0.0037392597212589766,0.0018655814997234643,0.000337570600095205,0,0,"[0.006565396259673802, 0.004965147734051782, 0.005503779533303025, 0.005459082183854198, 0.005840985444910128]","[0.00461960050399397, 0.003337070079782644, 0.00369095469741808, 0.00382750050112863, 0.0032211728239715585]",checkoutservice
holt_winters,0.016739852921489405,0.010028969850307195,0.00500000676889852,0.10500313381198793,10,0,"[0.019057435558426702, 0.016037508482706398, 0.016156941218793255, 0.015769339866641953, 0.016678039480878714]","[0.013075236649121892, 0.010172238829428039, 0.009701124953540407, 0.009994844853912662, 0.0072014039655329785]",currencyservice
seasonal_naive,0.020752595963428128,0.012055962973353537,0.006009504897745659,0.0003557305899448693,0,0,"[0.02455259926009441, 0.019036312592430344, 0.01973918382823677, 0.018779092769480078, 0.02165579136689903]","[0.016178140924730716, 0.011606674995670137, 0.011578029394009906, 0.011519924664240913, 0.009397044888116012]",currencyservice
lstm,0.02394928508393831,0.01576017662239339,0.0065658905629043,0.0023396842065267266,199297,0,"[0.017943724638097347, 0.015041274128622155, 0.015661825062142056, 0.014571654453320433, 0.05652794713750956]","[0.012640334590971268, 0.010089184981830103, 0.009675952531986479, 0.008807101937612466, 0.037588309069566644]",currencyservice
xgboost,0.025640598514921915,0.017939124171847037,0.008319831797939974,0.005787513998802751,3200,0,"[0.01991110428091902, 0.018061957110920745, 0.016173845888023716, 0.01487690338839981, 0.05917918190634627]","[0.01570480426254718, 0.013734058168243439, 0.010690464334790036, 0.01000315251818242, 0.03956314157547211]",currencyservice
holt_winters,0.0019910048875073916,0.0012685642070459683,0.0006340923349464354,0.09294279459863901,10,0,"[0.0024132451304958026, 0.002055613351759887, 0.0018000102502053338, 0.002058722511693881, 0.0016274331933820536]","[0.0016306639632211362, 0.001293617114769098, 0.001126061302399062, 0.0013227907880610516, 0.0009696878667794929]",emailservice
lstm,0.002258235250999755,0.001620189114680784,0.0007603841124481729,0.001850884809391573,12961,0,"[0.0026396229846863237, 0.002041513949660432, 0.0016477214608744074, 0.001841623282373442, 0.0031206945774041694]","[0.002095560643924589, 0.0013532272799346061, 0.0010533213236099878, 0.0012166294061314875, 0.00238220691980325]",emailservice
seasonal_naive,0.002512841495337045,0.001684825465682548,0.0008416564242707054,0.00037139739724807437,0,0,"[0.003174446475802736, 0.002456092830000531, 0.0022674794836011606, 0.0024416572581514064, 0.0022245314291293892]","[0.002193481240000362, 0.0016765730864644961, 0.001537626121018115, 0.0016716310057199792, 0.0013448158752097882]",emailservice
xgboost,0.0025758336093014583,0.0019151953745805556,0.001036145508149104,0.0062768958217930045,800,0,"[0.0033860025201933536, 0.0025984778345310463, 0.0018428095489933939, 0.001991366643629975, 0.003060511499159522]","[0.0026501411834459108, 0.0019239175135090782, 0.001208821953455228, 0.0013814169701333368, 0.0024116792523592237]",emailservice
holt_winters,0.02124217553192437,0.012516415923450989,0.006222205338161835,0.0945918566081673,10,0,"[0.022740190800235892, 0.02230506682091249, 0.017955557727284653, 0.018461902342265628, 0.024748159968923194]","[0.015160677287864547, 0.014184793905638773, 0.011275957799011017, 0.011035298910804276, 0.010925351713936325]",frontend
seasonal_naive,0.0268254227591057,0.013584432469071886,0.0067574815262031185,0.00044214418740011745,0,0,"[0.030881217723159257, 0.0283674716357849, 0.022097273841237237, 0.02258953460044797, 0.030191615994899154]","[0.01740757185256474, 0.015166975489652167, 0.011641773547967561, 0.011481345633844809, 0.012224495821330146]",frontend
lstm,0.03239009578806451,0.020455575597167874,0.007849170966537842,0.002184125781059265,50497,0,"[0.021892276299247046, 0.02222542386207375, 0.017440837916037174, 0.017330451531666916, 0.08306148933129766]","[0.012555369473790606, 0.012380870214530241, 0.011093690985859063, 0.010528673502170297, 0.05571927380948918]",frontend
xgboost,0.03527930283134227,0.022719609905904232,0.008846445277864757,0.0062799276027362795,3200,0,"[0.021591308245027353, 0.021833999710063993, 0.017241446848407758, 0.017722940963755915, 0.09800681838945634]","[0.013311039311166997, 0.01309764776487441, 0.01155446859178755, 0.010960897184734279, 0.06467399667695792]",frontend
holt_winters,0.000794330574348521,0.0005047955046682961,0.00025205763612037933,0.09385189519380219,10,0,"[0.0009205364723528662, 0.000755708067194403, 0.000832492165625192, 0.0007180312816623142, 0.0007448848849078299]","[0.0006142649716313788, 0.0004800920217946178, 0.0005347424537364029, 0.0004694608480901677, 0.00042541722808891373]",paymentservice
lstm,0.000889533416200973,0.0006398229372546049,0.0002897722889976032,0.0026912893925327805,199297,0,"[0.0008656680751886224, 0.0007198496142021856, 0.0007597787110357601, 0.0006567992398706202, 0.001445571440707677]","[0.0006082212068030759, 0.0004999616627517313, 0.0005410691060662483, 0.00045318079106502335, 0.0010966819195869463]",paymentservice
xgboost,0.0009770722502187993,0.0006989841674634687,0.00032596308734899405,0.005904912418918684,3200,0,"[0.0008443284531501604, 0.0007428628398381567, 0.0007822194136429092, 0.0006705017234265441, 0.0018454488210362262]","[0.0005959725670231103, 0.0005203936171735555, 0.0005528858719935264, 0.0004567419699840549, 0.0013689268111430962]",paymentservice
seasonal_naive,0.0010573944637135772,0.0006972971872622888,0.00034793996321196187,0.00048384219408035276,0,0,"[0.0012053022396466273, 0.0009903685678233133, 0.0010586780854185342, 0.000972921951960269, 0.0010597014737191422]","[0.0008284717246626395, 0.0006652291759976758, 0.0007192491988795573, 0.0006816807556836084, 0.000591855081087963]",paymentservice
holt_winters,0.008767697200919772,0.00498290835984295,0.0024759461372861626,0.10485322918975726,10,0,"[0.01099010575445985, 0.009185730421260275, 0.007988823240726063, 0.007337738402009119, 0.00833608818614355]","[0.006637392223909622, 0.005521597255823263, 0.004570510225793761, 0.004288337232643413, 0.003896704861044691]",productcatalogservice
seasonal_naive,0.011672560007002942,0.006671631777664858,0.003315789330100555,0.0003705348179209977,0,0,"[0.013837506082978578, 0.012144766302457111, 0.010624842811494666, 0.010208243853281309, 0.011547440984803037]","[0.008323314956334999, 0.007263203049253517, 0.006271537626156438, 0.006058296298421088, 0.0054418069581582415]",productcatalogservice
lstm,0.013486138982225258,0.010650058378373897,0.003870025046769098,0.0015316559933125971,50497,0,"[0.022277632592444876, 0.020418630501812217, 0.008001750996011425, 0.006983237076776249, 0.009749443744081522]","[0.018947918174909054, 0.018193435940556554, 0.004628804296940308, 0.0040724775552036475, 0.007407655924259925]",productcatalogservice
xgboost,0.018165516267868213,0.014512330117340436,0.00486741341105053,0.00645496339420788,1600,0,"[0.030500067968273068, 0.030561092971347095, 0.008383605546053143, 0.0072565620229490405, 0.014126252830718736]","[0.02563830915053397, 0.026721077940906463, 0.005325609234763424, 0.004428512145321238, 0.010448142115177084]",productcatalogservice
holt_winters,0.02431685242724268,0.01222407651689349,0.006088556952712858,0.10496011339128017,10,0,"[0.03229433570907913, 0.022470195329418945, 0.0222704020616151, 0.022220426916698354, 0.022328902119401875]","[0.016561332686623735, 0.011638820076523176, 0.011715444884972533, 0.010525384428850263, 0.010679400507497744]",recommendationservice
lstm,0.024498137428301748,0.014560899128442209,0.006886551429362897,0.0012347626092378049,17217,0,"[0.03532208464784896, 0.022127608268391396, 0.022095019544657493, 0.02134502265868332, 0.02160095202192757]","[0.023336533885393092, 0.012210029650545157, 0.012997827873025699, 0.010820667269976407, 0.013439436963270691]",recommendationservice
xgboost,0.025592040820128954,0.016751384790082473,0.007605281880980421,0.005656265205470845,800,0,"[0.03227772832436214, 0.02589026759068715, 0.02583497113389317, 0.02039673842697677, 0.023560498624725534]","[0.01949395054378148, 0.017543169589615378, 0.017778417341044545, 0.012740100224478915, 0.016201286251492055]",recommendationservice
seasonal_naive,0.03493927844083182,0.019452175384763223,0.009681991449849742,0.0004130362067371607,0,0,"[0.04330588419826767, 0.033897812823021865, 0.032202816374140124, 0.033611809860819485, 0.031678068947909935]","[0.024980232602323644, 0.019230680115958618, 0.019125673659620385, 0.017784683488800666, 0.016139607057112818]",recommendationservice
holt_winters,0.0020883823850723015,0.0013066476259696897,0.0006515435821975847,0.09299185260315426,10,0,"[0.002453887836344059, 0.0017301537705728901, 0.0019993324649907824, 0.0019606749943273604, 0.0022978628591264158]","[0.00164862784732806, 0.0011256992420276737, 0.0012548596241167011, 0.0012804358093918887, 0.001223615606984125]",shippingservice
seasonal_naive,0.002773701029268058,0.001801979875201028,0.0008985630329089768,0.0003657558059785515,0,0,"[0.0032423240900133986, 0.002285438878548658, 0.002615157045254737, 0.002608520214869142, 0.0031170649176543537]","[0.002217845492476027, 0.0015410541299057748, 0.0017541179223665867, 0.0017758651765609195, 0.0017210166546958317]",shippingservice
xgboost,0.002816285210163637,0.0019716475695158416,0.0008665590152757814,0.006736963801085949,3200,0,"[0.002308519403068265, 0.0016728266070123294, 0.001915395125532048, 0.0017235250189028258, 0.006461159896302716]","[0.0015864105860893107, 0.0011598685464426113, 0.0013085190825963178, 0.001153474493212923, 0.0046499651392380445]",shippingservice
lstm,0.002906334738812003,0.002006074287426039,0.0008316421332108031,0.0024662878131493926,50497,0,"[0.0025120565615896623, 0.0016496938711955075, 0.0018435182733372133, 0.0016144840128271992, 0.006911920975110434]","[0.0016896404360996328, 0.0011196267113719842, 0.0012141964415575324, 0.0010976652004109982, 0.004909242647690048]",shippingservice
