name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
seasonal_naive,0.004512037015823685,0.0037064832490288657,0.0018885783347107187,0.0001256420000572689,0,0,"[0.005755111704529195, 0.004361078300011961, 0.0034199210429299]","[0.004952753513235789, 0.0034849771067922254, 0.0026817191270585836]",paymentservice
lstm,inf,inf,inf,inf,0,3,[],[],paymentservice
sarima,0.005235691470128149,0.004525767411675892,0.0019415151851850726,0.0004133578011533245,5,0,"[0.005074013136342292, 0.006063046587015885, 0.00457001468702627]","[0.0045857933122629225, 0.005517979097427741, 0.003473529825337013]",productcatalogservice
xgboost,0.005683155166871712,0.004918463420296092,0.0025970890275340973,0.002071133999561425,3200,0,"[0.00627951192654552, 0.006808498758926318, 0.003961454815143298]","[0.005736800154280527, 0.005872926507911231, 0.0031456635986965176]",productcatalogservice
holt_winters,0.006480043139354408,0.005473027731925849,0.002680632738367744,0.003254949999245582,10,0,"[0.006963924058948987, 0.007517371908619456, 0.004958833450494779]","[0.006044008015168198, 0.006355983542418977, 0.004019091638190371]",productcatalogservice
seasonal_naive,0.007899374286770757,0.0067547250072744645,0.0034178044218050666,0.00011644959959085099,0,0,"[0.007504201186673537, 0.008666341112680163, 0.007527580560958569]","[0.006840985254800485, 0.007411086069140432, 0.006012103697882474]",productcatalogservice
lstm,inf,inf,inf,inf,0,3,[],[],productcatalogservice
holt_winters,0.01609081504688439,0.014325716307963712,0.0071750175184332925,0.004026050000538817,10,0,"[0.019261814804319256, 0.013773104255951742, 0.015237526080382174]","[0.017057879310019872, 0.012507018721215062, 0.013412250892656206]",recommendationservice
sarima,0.016231174695157946,0.013829574019119365,0.008673223471399245,0.00041302439931314435,3,0,"[0.013354705301576909, 0.02349119925232956, 0.011847619531567372]","[0.009774930197689838, 0.021756189416352236, 0.009957602443316017]",recommendationservice
xgboost,0.01714203901143981,0.01465874981195838,0.008676033144137582,0.0022057083988329396,3200,0,"[0.02166122534562552, 0.01741766778266724, 0.012347223906026671]","[0.018647911787784518, 0.014662052112504154, 0.010666285535586465]",recommendationservice
seasonal_naive,0.01778183501125904,0.014548633202601517,0.007485341396679055,0.00012214979797136037,0,0,"[0.019832021457996434, 0.01609762727426258, 0.01741585630151811]","[0.015696641915181917, 0.012470732893466547, 0.015478524799156089]",recommendationservice
lstm,inf,inf,inf,inf,0,3,[],[],recommendationservice
xgboost,0.005501525528979302,0.0048626072573069124,0.0025499253019352582,0.001965691398800118,3200,0,"[0.006890895559040163, 0.004838676458927256, 0.004775004568970486]","[0.006113130041961951, 0.004233855828020042, 0.004240835901938744]",shippingservice
holt_winters,0.0061049809821871704,0.0050736409496815365,0.0023716777180569676,0.003495332799502648,10,0,"[0.008129439729357717, 0.0052883408325971664, 0.004897162384606628]","[0.006582014322394045, 0.0045725663935981984, 0.0040663421330523674]",shippingservice
seasonal_naive,0.0067503784789708365,0.005436147939384875,0.0027065331461194266,0.00012438339981599711,0,0,"[0.006108818238999232, 0.007735419696832943, 0.006406897501080336]","[0.004951711654001517, 0.006222068926990503, 0.005134663237162606]",shippingservice
sarima,0.007451323037004127,0.006368787607314637,0.0034467155896926818,0.00041687540142447687,4,0,"[0.005397732696124042, 0.010222874752513156, 0.006733361662375182]","[0.0045039675737753426, 0.008951831153894372, 0.005650564094274196]",shippingservice
lstm,inf,inf,inf,inf,0,3,[],[],shippingservice
